	workload name	duration (s)	no. samples	start time (ms)	end time (ms)	start date	end date	Freq (MHz) C0	Freq (MHz) C4	CPU 0 (id:0x07) cycle count diff	CPU 0 (id:0x07) cntr 0 (0x14) diff	CPU 0 (id:0x07) cntr 1 (0x16) diff	CPU 0 (id:0x07) cntr 2 (0x13) diff	CPU 0 (id:0x07) cntr 3 (0x0F) diff	CPU 1 (id:0x07) cycle count diff	CPU 1 (id:0x07) cntr 0 (0x14) diff	CPU 1 (id:0x07) cntr 1 (0x16) diff	CPU 1 (id:0x07) cntr 2 (0x13) diff	CPU 1 (id:0x07) cntr 3 (0x0F) diff	CPU 2 (id:0x07) cycle count diff	CPU 2 (id:0x07) cntr 0 (0x14) diff	CPU 2 (id:0x07) cntr 1 (0x16) diff	CPU 2 (id:0x07) cntr 2 (0x13) diff	CPU 2 (id:0x07) cntr 3 (0x0F) diff	CPU 3 (id:0x07) cycle count diff	CPU 3 (id:0x07) cntr 0 (0x14) diff	CPU 3 (id:0x07) cntr 1 (0x16) diff	CPU 3 (id:0x07) cntr 2 (0x13) diff	CPU 3 (id:0x07) cntr 3 (0x0F) diff	CPU 4 (id:0x0F) cycle count diff	CPU 4 (id:0x0F) cntr 0 (0x1B) diff	CPU 4 (id:0x0F) cntr 1 (0x50) diff	CPU 4 (id:0x0F) cntr 2 (0x6A) diff	CPU 4 (id:0x0F) cntr 3 (0x73) diff	CPU 4 (id:0x0F) cntr 4 (0x14) diff	CPU 4 (id:0x0F) cntr 5 (0x19) diff	CPU 5 (id:0x0F) cycle count diff	CPU 5 (id:0x0F) cntr 0 (0x1B) diff	CPU 5 (id:0x0F) cntr 1 (0x50) diff	CPU 5 (id:0x0F) cntr 2 (0x6A) diff	CPU 5 (id:0x0F) cntr 3 (0x73) diff	CPU 5 (id:0x0F) cntr 4 (0x14) diff	CPU 5 (id:0x0F) cntr 5 (0x19) diff	CPU 6 (id:0x0F) cycle count diff	CPU 6 (id:0x0F) cntr 0 (0x1B) diff	CPU 6 (id:0x0F) cntr 1 (0x50) diff	CPU 6 (id:0x0F) cntr 2 (0x6A) diff	CPU 6 (id:0x0F) cntr 3 (0x73) diff	CPU 6 (id:0x0F) cntr 4 (0x14) diff	CPU 6 (id:0x0F) cntr 5 (0x19) diff	CPU 7 (id:0x0F) cycle count diff	CPU 7 (id:0x0F) cntr 0 (0x1B) diff	CPU 7 (id:0x0F) cntr 1 (0x50) diff	CPU 7 (id:0x0F) cntr 2 (0x6A) diff	CPU 7 (id:0x0F) cntr 3 (0x73) diff	CPU 7 (id:0x0F) cntr 4 (0x14) diff	CPU 7 (id:0x0F) cntr 5 (0x19) diff	CPU 0 (id:0x07) cycle count rate	CPU 0 (id:0x07) cntr 0 (0x14) rate	CPU 0 (id:0x07) cntr 1 (0x16) rate	CPU 0 (id:0x07) cntr 2 (0x13) rate	CPU 0 (id:0x07) cntr 3 (0x0F) rate	CPU 1 (id:0x07) cycle count rate	CPU 1 (id:0x07) cntr 0 (0x14) rate	CPU 1 (id:0x07) cntr 1 (0x16) rate	CPU 1 (id:0x07) cntr 2 (0x13) rate	CPU 1 (id:0x07) cntr 3 (0x0F) rate	CPU 2 (id:0x07) cycle count rate	CPU 2 (id:0x07) cntr 0 (0x14) rate	CPU 2 (id:0x07) cntr 1 (0x16) rate	CPU 2 (id:0x07) cntr 2 (0x13) rate	CPU 2 (id:0x07) cntr 3 (0x0F) rate	CPU 3 (id:0x07) cycle count rate	CPU 3 (id:0x07) cntr 0 (0x14) rate	CPU 3 (id:0x07) cntr 1 (0x16) rate	CPU 3 (id:0x07) cntr 2 (0x13) rate	CPU 3 (id:0x07) cntr 3 (0x0F) rate	CPU 4 (id:0x0F) cycle count rate	CPU 4 (id:0x0F) cntr 0 (0x1B) rate	CPU 4 (id:0x0F) cntr 1 (0x50) rate	CPU 4 (id:0x0F) cntr 2 (0x6A) rate	CPU 4 (id:0x0F) cntr 3 (0x73) rate	CPU 4 (id:0x0F) cntr 4 (0x14) rate	CPU 4 (id:0x0F) cntr 5 (0x19) rate	CPU 5 (id:0x0F) cycle count rate	CPU 5 (id:0x0F) cntr 0 (0x1B) rate	CPU 5 (id:0x0F) cntr 1 (0x50) rate	CPU 5 (id:0x0F) cntr 2 (0x6A) rate	CPU 5 (id:0x0F) cntr 3 (0x73) rate	CPU 5 (id:0x0F) cntr 4 (0x14) rate	CPU 5 (id:0x0F) cntr 5 (0x19) rate	CPU 6 (id:0x0F) cycle count rate	CPU 6 (id:0x0F) cntr 0 (0x1B) rate	CPU 6 (id:0x0F) cntr 1 (0x50) rate	CPU 6 (id:0x0F) cntr 2 (0x6A) rate	CPU 6 (id:0x0F) cntr 3 (0x73) rate	CPU 6 (id:0x0F) cntr 4 (0x14) rate	CPU 6 (id:0x0F) cntr 5 (0x19) rate	CPU 7 (id:0x0F) cycle count rate	CPU 7 (id:0x0F) cntr 0 (0x1B) rate	CPU 7 (id:0x0F) cntr 1 (0x50) rate	CPU 7 (id:0x0F) cntr 2 (0x6A) rate	CPU 7 (id:0x0F) cntr 3 (0x73) rate	CPU 7 (id:0x0F) cntr 4 (0x14) rate	CPU 7 (id:0x0F) cntr 5 (0x19) rate
0	idle	30.014	150.0	1.50176942060e+12	1.50176945062e+12	2017-8-3 23:40:20	2017-8-3 23:40:50	1200.0	1200.0	557063732.0	105481085.0	9862185.0	74516034.0	8856.0	210035080.0	37262594.0	3572557.0	25918496.0	4207.0	168840713.0	27386274.0	2941096.0	19591634.0	4206.0	351467314.0	94120684.0	5255167.0	55222728.0	15804.0	162550053.0	62163635.0	1964138.0	500791.0	32142732.0	28033840.0	532911.0	152112725.0	56294110.0	1861675.0	466880.0	29511974.0	26006363.0	365429.0	169228654.0	64531123.0	2091045.0	543091.0	34079412.0	29770463.0	397822.0	271009815.0	120538529.0	3685799.0	1027821.0	62118533.0	55889772.0	633337.0	18560129.6728	3514396.11515	328586.159792	2482709.20237	295.062304258	6997903.64497	1241507.09669	119029.686146	863546.878124	140.167921637	5625398.58066	912449.990005	97990.8042913	652749.85007	140.134603852	11710112.4142	3135892.71673	175090.524422	1839898.98048	526.554274672	5415807.72306	2071154.62784	65440.7276604	16685.2468848	1070924.63517	934025.454788	17755.4141401	5068059.07243	1875595.05564	62026.8874525	15555.4074765	983273.605651	866474.411941	12175.2848671	5638323.91551	2150034.08409	69668.9878057	18094.5891917	1135450.52309	991885.886586	13254.5478777	9029446.75818	4016076.79749	122802.658759	34244.7191311	2069651.9291	1862123.40908	21101.3860199
1	basicmath	1.554	9.0	1.50176945067e+12	1.50176945222e+12	2017-8-3 23:40:50	2017-8-3 23:40:52	1200.0	1200.0	37437429.0	6062266.0	637915.0	4379327.0	703.0	14561197.0	2132943.0	215166.0	1503697.0	231.0	9924948.0	1298187.0	140675.0	932487.0	198.0	36864586.0	10342450.0	460017.0	6169486.0	1957.0	25726031.0	8948980.0	304149.0	75675.0	4647931.0	4019614.0	211189.0	47203064.0	19617389.0	275831.0	174401.0	10494372.0	8257769.0	136171.0	26741842.0	9939437.0	315747.0	77771.0	5162043.0	4393669.0	140465.0	1826177445.0	2375311757.0	11111624.0	4646506.0	1291378732.0	688830364.0	4009898.0	24091009.6525	3901072.07207	410498.712999	2818099.7426	452.380952381	9370139.63964	1372550.19305	138459.459459	967629.98713	148.648648649	6386710.42471	835384.169884	90524.4530245	600055.984556	127.413127413	23722384.8134	6655373.23037	296021.235521	3970068.21107	1259.33075933	16554717.5032	5758674.38867	195720.07722	48696.9111969	2990946.58945	2586624.19562	135900.2574	30375202.0592	12623802.4453	177497.425997	112227.155727	6753135.13514	5313879.66538	87626.1261261	17208392.5354	6396034.10553	203183.397683	50045.6885457	3321777.99228	2827328.82883	90389.3178893	1175146361.0	1528514644.14	7150337.19434	2990029.60103	831003045.045	443262782.497	2580371.94337
2	bitcount-small	0.118	2.0	1.50176945227e+12	1.50176945239e+12	2017-8-3 23:40:52	2017-8-3 23:40:52	1200.0	1200.0	11934496.0	2492792.0	155247.0	1624498.0	25.0	2566717.0	278634.0	36373.0	209249.0	33.0	1756396.0	159257.0	19392.0	115986.0	25.0	2237666.0	233130.0	26275.0	175522.0	25.0	4573080.0	1826493.0	67507.0	16323.0	950963.0	808625.0	21150.0	4861355.0	2051103.0	73869.0	15696.0	1063178.0	891538.0	17486.0	8638995.0	4105515.0	144359.0	35007.0	2123047.0	1793323.0	36291.0	135467953.0	228101814.0	161462.0	38935.0	187216717.0	43051204.0	52400.0	101139796.61	21125355.9322	1315652.54237	13766932.2034	211.86440678	21751838.9831	2361305.08475	308245.762712	1773296.61017	279.661016949	14884711.8644	1349635.59322	164338.983051	982932.20339	211.86440678	18963271.1864	1975677.9661	222669.491525	1487474.57627	211.86440678	38754915.2542	15478754.2373	572093.220339	138330.508475	8059008.47458	6852754.23729	179237.288136	41197923.7288	17382228.8136	626008.474576	133016.949153	9009983.05085	7555406.77966	148186.440678	73211822.0339	34792500.0	1223381.35593	296669.491525	17991923.7288	15197652.5424	307550.847458	1148033500.0	1933066220.34	1368322.0339	329957.627119	1586582347.46	364840711.864	444067.79661
3	qsort	0.239	4.0	1.50176945244e+12	1.50176945268e+12	2017-8-3 23:40:52	2017-8-3 23:40:52	1200.0	1200.0	32906014.0	5828252.0	643321.0	4568472.0	74.0	8472140.0	1322373.0	132069.0	971502.0	85.0	40268626.0	8035942.0	681938.0	6009492.0	73.0	2853073.0	306411.0	36876.0	227205.0	80.0	9454054.0	3943807.0	138625.0	33194.0	2025175.0	1708522.0	61560.0	275830306.0	354748251.0	1312765.0	391008.0	173985006.0	99282222.0	1322085.0	9672523.0	3637997.0	116401.0	32509.0	1920439.0	1593164.0	67072.0	9833763.0	4009419.0	133908.0	31700.0	2079611.0	1810554.0	62434.0	137682066.946	24385991.6318	2691719.66527	19114945.6067	309.623430962	35448284.5188	5532941.42259	552589.958159	4064861.92469	355.648535565	168487974.895	33623188.2845	2853297.07113	25144317.9916	305.439330544	11937543.9331	1282054.39331	154292.887029	950648.535565	334.728033473	39556711.2971	16501284.5188	580020.920502	138887.029289	8473535.56485	7148627.61506	257573.221757	1154101698.74	1484302305.44	5492740.58577	1636016.7364	727970736.402	415406786.611	5531736.40167	40470807.5314	15221744.7699	487033.472803	136020.920502	8035309.62343	6665958.159	280635.983264	41145451.8828	16775811.7155	560284.518828	132635.983264	8701301.25523	7575539.74895	261230.125523
4	susan-smoothing	0.146	3.0	1.50176945363e+12	1.50176945377e+12	2017-8-3 23:40:53	2017-8-3 23:40:53	1200.0	1200.0	8568626.0	1608400.0	109011.0	1069114.0	51.0	6657862.0	971421.0	112035.0	774148.0	87.0	2302908.0	243895.0	26227.0	175993.0	47.0	2238585.0	229638.0	24428.0	165802.0	53.0	7302652.0	3097091.0	115728.0	26226.0	1613088.0	1362745.0	36418.0	9455600.0	4444540.0	154003.0	35696.0	2298108.0	1951688.0	50130.0	163208359.0	262164419.0	155783.0	38915.0	150044972.0	78752106.0	114446.0	5489262.0	2143691.0	74458.0	18914.0	1122805.0	994262.0	17680.0	58689219.1781	11016438.3562	746650.684932	7322698.63014	349.315068493	45601794.5205	6653568.49315	767363.013699	5302383.56164	595.890410959	15773342.4658	1670513.69863	179636.986301	1205431.50685	321.917808219	15332773.9726	1572863.0137	167315.068493	1135630.13699	363.01369863	50018164.3836	21212952.0548	792657.534247	179630.136986	11048547.9452	9333869.86301	249438.356164	64764383.5616	30442054.7945	1054815.06849	244493.150685	15740465.7534	13367726.0274	343356.164384	1117865472.6	1795646705.48	1067006.84932	266541.09589	1027705287.67	539397986.301	783876.712329	37597684.9315	14682815.0685	509986.30137	129547.945205	7690445.20548	6810013.69863	121095.890411
5	susan-edges	0.046	2.0	1.50176945382e+12	1.50176945387e+12	2017-8-3 23:40:53	2017-8-3 23:40:53	1200.0	1200.0	3675429.0	428986.0	59091.0	344737.0	26.0	2527093.0	289921.0	36883.0	219328.0	26.0	1523582.0	118645.0	13543.0	87959.0	24.0	1616169.0	130598.0	16829.0	98449.0	27.0	7276150.0	3460259.0	123388.0	28613.0	1776609.0	1490608.0	59082.0	43797880.0	69271397.0	176353.0	38921.0	34912562.0	15564010.0	207486.0	6773095.0	3089719.0	111998.0	25765.0	1606946.0	1340747.0	24745.0	6953705.0	3084086.0	106260.0	26160.0	1603101.0	1379035.0	36945.0	79900630.4348	9325782.6087	1284586.95652	7494282.6087	565.217391304	54936804.3478	6302630.43478	801804.347826	4768000.0	565.217391304	33121347.8261	2579239.13043	294413.043478	1912152.17391	521.739130435	35134108.6957	2839086.95652	365847.826087	2140195.65217	586.956521739	158177173.913	75223021.7391	2682347.82609	622021.73913	38621934.7826	32404521.7391	1284391.30435	952127826.087	1505899934.78	3833760.86957	846108.695652	758968739.13	338348043.478	4510565.21739	147241195.652	67167804.3478	2434739.13043	560108.695652	34933608.6957	29146673.913	537934.782609	151167500.0	67045347.8261	2310000.0	568695.652174	34850021.7391	29979021.7391	803152.173913
6	susan-corners	0.029	2.0	1.50176945392e+12	1.50176945394e+12	2017-8-3 23:40:53	2017-8-3 23:40:53	1200.0	1200.0	1705446.0	131650.0	16641.0	95385.0	25.0	1507408.0	120922.0	15838.0	91671.0	25.0	1385194.0	104486.0	13199.0	78330.0	25.0	1376981.0	100030.0	13261.0	76386.0	25.0	7235406.0	3415373.0	121628.0	28525.0	1753982.0	1472165.0	61477.0	24491590.0	31233634.0	160678.0	48957.0	14126140.0	7648701.0	239113.0	6543077.0	2993397.0	108518.0	24927.0	1551903.0	1295745.0	25415.0	6716637.0	2983281.0	105034.0	25489.0	1548739.0	1334974.0	36867.0	58808482.7586	4539655.17241	573827.586207	3289137.93103	862.068965517	51979586.2069	4169724.13793	546137.931034	3161068.96552	862.068965517	47765310.3448	3602965.51724	455137.931034	2701034.48276	862.068965517	47482103.4483	3449310.34483	457275.862069	2634000.0	862.068965517	249496758.621	117771482.759	4194068.96552	983620.689655	60482137.931	50764310.3448	2119896.55172	844537586.207	1077021862.07	5540620.68966	1688172.41379	487108275.862	263748310.345	8245275.86207	225623344.828	103220586.207	3742000.0	859551.724138	53513896.5517	44680862.069	876379.310345	231608172.414	102871758.621	3621862.06897	878931.034483	53404793.1034	46033586.2069	1271275.86207
7	jpeg-encode	0.07	2.0	1.50176945399e+12	1.50176945406e+12	2017-8-3 23:40:53	2017-8-3 23:40:54	1200.0	1200.0	3039533.0	327430.0	51275.0	279194.0	26.0	2273928.0	273201.0	29538.0	196865.0	26.0	1648352.0	151249.0	17176.0	113418.0	24.0	2961155.0	386164.0	39357.0	294079.0	35.0	5517449.0	2507138.0	87577.0	19282.0	1291834.0	1077012.0	21571.0	2807007.0	963098.0	38052.0	8866.0	507421.0	430551.0	8494.0	7846240.0	3582975.0	133921.0	31218.0	1850642.0	1563646.0	52682.0	76167779.0	116147837.0	452749.0	79367.0	56288487.0	21820292.0	311844.0	43421900.0	4677571.42857	732500.0	3988485.71429	371.428571429	32484685.7143	3902871.42857	421971.428571	2812357.14286	371.428571429	23547885.7143	2160700.0	245371.428571	1620257.14286	342.857142857	42302214.2857	5516628.57143	562242.857143	4201128.57143	500.0	78820700.0	35816257.1429	1251100.0	275457.142857	18454771.4286	15385885.7143	308157.142857	40100100.0	13758542.8571	543600.0	126657.142857	7248871.42857	6150728.57143	121342.857143	112089142.857	51185357.1429	1913157.14286	445971.428571	26437742.8571	22337800.0	752600.0	1088111128.57	1659254814.29	6467842.85714	1133814.28571	804121242.857	311718457.143	4454914.28571
8	jpeg-decode	0.035	2.0	1.50176945411e+12	1.50176945415e+12	2017-8-3 23:40:54	2017-8-3 23:40:54	1200.0	1200.0	3953917.0	569579.0	46993.0	366902.0	26.0	1888762.0	201984.0	21896.0	141655.0	26.0	1577960.0	128060.0	15577.0	93857.0	24.0	1557275.0	126885.0	16326.0	94751.0	27.0	8272845.0	3889883.0	138635.0	33432.0	2011437.0	1687564.0	47982.0	7434981.0	3367473.0	118163.0	29193.0	1743698.0	1479782.0	56506.0	4460067.0	1854330.0	69125.0	14450.0	959505.0	799834.0	15258.0	31329547.0	30090590.0	396893.0	115638.0	14736154.0	6981790.0	232677.0	112969057.143	16273685.7143	1342657.14286	10482914.2857	742.857142857	53964628.5714	5770971.42857	625600.0	4047285.71429	742.857142857	45084571.4286	3658857.14286	445057.142857	2681628.57143	685.714285714	44493571.4286	3625285.71429	466457.142857	2707171.42857	771.428571429	236367000.0	111139514.286	3961000.0	955200.0	57469628.5714	48216114.2857	1370914.28571	212428028.571	96213514.2857	3376085.71429	834085.714286	49819942.8571	42279485.7143	1614457.14286	127430485.714	52980857.1429	1975000.0	412857.142857	27414428.5714	22852400.0	435942.857143	895129914.286	859731142.857	11339800.0	3303942.85714	421032971.429	199479714.286	6647914.28571
9	typeset	0.441	4.0	1.5017694542e+12	1.50176945464e+12	2017-8-3 23:40:54	2017-8-3 23:40:54	1200.0	1200.0	8481645.0	1353437.0	133150.0	966905.0	75.0	5689203.0	840882.0	87973.0	598231.0	74.0	3595557.0	432390.0	45876.0	306184.0	73.0	4481010.0	550128.0	63623.0	397598.0	92.0	11535078.0	5054896.0	176430.0	42045.0	2595288.0	2176870.0	103876.0	520697316.0	536162595.0	7846525.0	2982142.0	215319384.0	145002446.0	2112916.0	8643146.0	3562902.0	119377.0	26807.0	1827339.0	1516217.0	36504.0	8897872.0	3255561.0	123438.0	28209.0	1703075.0	1512828.0	64529.0	19232755.102	3069018.14059	301927.437642	2192528.34467	170.068027211	12900687.0748	1906761.90476	199485.260771	1356532.87982	167.800453515	8153190.47619	980476.190476	104027.210884	694294.78458	165.532879819	10161020.4082	1247455.78231	144269.84127	901582.76644	208.616780045	26156639.4558	11462349.2063	400068.027211	95340.1360544	5885006.80272	4936213.15193	235546.485261	1180719537.41	1215788197.28	17792573.6961	6762226.75737	488252571.429	328803732.426	4791192.74376	19598970.5215	8079142.85714	270696.145125	60786.8480726	4143625.85034	3438133.78685	82775.5102041	20176580.4989	7382224.4898	279904.761905	63965.9863946	3861848.07256	3430448.97959	146324.263039
